name
1. FC Heidenheim
1. FC Köln
1. FC Nürnberg
1. FSV Mainz 05
1860 München
1899 Hoffenheim
A. Minas G.
Aalborg BK
Aalesunds FK
Aarhus GF
Aberdeen
AC Ajaccio
AC Horsens
Accrington
AD Alcorcón
Adanaspor
Adelaide United
Admira Wacker
ADO Den Haag
AFC Wimbledon
Águilas Doradas
AIK
AJ Auxerre
Ajax
Akhisarspor
Al Ahli
Al Batin
Al Faisaly
Al Fateh
Al Hilal
Al Ittihad
Al Khaleej
Al Nassr
Al Qadisiyah
Al Raed
Al Shabab
Al Taawoun
Al Wehda
Al-Ettifaq
Al. Petrolera
Albirex Niigata
América
Amiens SC
Amkar Perm
Angers SCO
Antalyaspor
Anzhi Makhachkala
Arka Gdynia
Arminia Bielefeld
Arouca
Arsenal
Arsenal Tula
AS Monaco
AS Nancy
AS Saint-Étienne
Aston Villa
Atalanta
Athletic Bilbao
Atl. Nacional
Atl. Paranaense
Atlas
Atlético Bucaramanga
Atlético Huila
Atlético Madrid
Atlético Mineiro
Atlético Tucumán
Audax Italiano
Austria Wien
Avaí
Avellino
Avispa Fukuoka
Aytemiz Alanyaspor
AZ
Bahía Blanca
Banfield
Bari
Barnet
Barnsley
Bayer 04
Belenenses
Belgrano
Benevento
Beşiktaş
Birmingham City
BK Häcken
Blackburn Rovers
Blackpool
Boavista
Boca Juniors
Bohemian FC
Bologna
Bolton
Bor. Dortmund
Bor. M'gladbach
Borgocalcio
Botafogo
Bourg-Péronnas
Bournemouth
Boyacá Chicó
Bradford City
Braunschweig
Bray Wanderers
Brentford
Brescia
Brighton
Brisbane Roar
Brisigonza
Bristol City
Bristol Rovers
Brøndby IF
BSC Young Boys
Burnley
Bursaspor
Burton Albion
Bury
CA Osasuna
CA Talleres
Cádiz C.F.
Cagliari
Cambridge Utd
Cardiff City
Carlisle United
Carpi
Çaykur Rizespor
CD Antofagasta
CD Cobresal
CD Everton
CD Huachipato
CD Leganés
CD Lugo
CD Mirandés
CD Numancia
CD O'Higgins
CD Palestino
CD Tenerife
Celta Vigo
Celtic
Central Coast
Cesena
CF Reus Deportiu
Cham. Niortais
Chapecoense
Charlton Ath
Chaves
Chelsea
Cheltenham Town
Chesterfield
Chiapas
Chicago Fire
Chievo Verona
Cittadella
Clermont Foot
Club Brugge
Colchester
Colo-Colo
Colorado Rapids
Columbus Crew SC
Córdoba CF
Coritiba
Cork City
Cortuluá
Coventry City
Cracovia
Crawley Town
Crewe Alexandra
Criciúma
Crotone
Cruz Azul
Cruzeiro
Crystal Palace
CSKA Moscow
D.C. United
Depor. Iquique
Deport. Alavés
Deportes Temuco
Deportes Tolima
Deportivo Cali
Deportivo Pasto
Derby County
Derry City
Dijon FCO
Djurgårdens IF
Doncaster
Dundalk
Dundee FC
Dynamo Dresden
EA Guingamp
Eint. Frankfurt
Elche CF
Empoli
Envigado
Erzgebirge Aue
ES Troyes AC
Esbjerg fB
Estoril Praia
Estudiantes
Everton
Excelsior
Exeter City
F. Düsseldorf
F. Santa Maria
Falkenbergs FF
FC Augsburg
FC Barcelona
FC Basel
FC Bayern
FC Dallas
FC Groningen
FC Ingolstadt
FC København
FC Krasnodar
FC Lausanne
FC Lorient
FC Lugano
FC Luzern
FC Metz
FC Midtjylland
FC Nantes
FC Nordsjælland
FC Orenburg
FC Porto
FC Rostov
FC Schalke 04
FC Seoul
FC Sion
FC Sochaux
FC St. Gallen
FC St. Pauli
FC Thun
FC Tokyo
FC Tom Tomsk
FC Twente
FC Ufa
FC Ural
FC Utrecht
FC Vaduz
Fenerbahçe
Feyenoord
Figueirense
Finn Harps
Fiorentina
FK Bodø/Glimt
FK Haugesund
Fl. Varela
Fleetwood Town
Fluminense
Fortaleza FC
Free agent
Free Agents
Frosinone
Fulham
G. La Plata
Galatasaray
Galway United
Gamba Osaka
Gaziantepspor
Gefle IF
Gençlerbirliği
Genoa
Getafe CF
GFC Ajaccio
GIF Sundsvall
Gillingham
Gimnàstic
Giron. Bordeaux
Girona CF
Go Ahead Eagles
Godoy Cruz
Goiás
Górnik Łęczna
Granada CF
